1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
2715,,,,,,until the tin is completely frosted. Add more ice to,,
2716,,,,,,form a cone above the rim. Garnish with the mint,,
2717,,,,,,bouquet in the center of the ice and serve with a,,
2718,,,,,,straw.,,
2719,,,,,,,,
2720,244,NOT-QUITE-GEORGIA JULEP,COGNAC,BRANDY (GRAPE),1,GARNISH: 1 MINT BOUQUET,PHIL WARD 2008,
2721,244,NOT-QUITE-GEORGIA JULEP,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),1,Put all the ingredients in a julep tin. Fill the tin,,
2722,244,NOT-QUITE-GEORGIA JULEP,MASSENEZ CRÈME DE PÊCHE PEACH LIQUEUR,LIQUEUR (PEACH),0.166667,"halfway with crushed ice. Stir with a TEASPOON,,",,
2723,244,NOT-QUITE-GEORGIA JULEP,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,"churning the ice as you go, for about 10 seconds,",,
2724,,,,,,holding the tin by the rim so the entire tin can,,
2725,,,,,,eventually frost up. Add more crushed ice to fill,,
2726,,,,,,the tin two-thirds full and stir until the tin is,,
2727,,,,,,completely frosted. Add more ice to form a cone,,
2728,,,,,,above the rim. Garnish with the mint bouquet in,,
2729,,,,,,the center of the ice and serve with a straw.,,
2730,,,,,,,,
2731,244,RACKETEER JULEP,MINT SPRIG,MINT,1 sprig,GARNISH: 1 MINT BOUQUET,JESSICA GONZALEZ 2009,
2732,244,RACKETEER JULEP,BOLS GENEVER,GIN (GENEVER),2,Rub the mint around the inside of a julep tin and,,
2733,244,RACKETEER JULEP,SMITH & CROSS RUM,RUM (JAMAICAN),0.5,discard. Put the remaining ingredients (except the,,
2734,244,RACKETEER JULEP,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,bitters) in the tin. Fill the tin halfway with crushed,,
2735,244,RACKETEER JULEP,VANILLA SYRUP,SYRUP (VANILLA),0.166667,"ice. Stir with a TEASPOON,, churning the ice as you",,
2736,244,RACKETEER JULEP,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,"go, for about 10 seconds, holding the tin by the",,
2737,,,,,,rim so the entire tin can eventually frost up. Add,,
2738,,,,,,more crushed ice to fill the tin two-thirds full and,,
2739,,,,,,stir until the tin is completely frosted. Add more,,
2740,,,,,,ice to form a cone above the rim. Top with the,,
2741,,,,,,bitters. Garnish with the mint bouquet in the,,
2742,,,,,,center of the ice and serve with a straw.,,
2743,,,,,,,,
2744,244,SMOKED JULEP,LAPHROAIG 12-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),1,"GARNISH: 1 APPLE FAN AND 1, MINT",PHIL WARD 2008,
2745,244,SMOKED JULEP,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),1,BOUQUET,,
2746,244,SMOKED JULEP,MAPLE SYRUP,SYRUP (MAPLE),0.25,Put all the ingredients in a julep tin. Fill the tin,,
2747,,,,,,"halfway with crushed ice. Stir with a TEASPOON,,",,
2748,,,,,,"churning the ice as you go, for about 10 seconds,",,
2749,,,,,,holding the tin by the rim so the entire tin can,,
2750,,,,,,eventually frost up. Add more crushed ice to fill,,
2751,,,,,,the tin two-thirds full and stir until the tin is,,
2752,,,,,,completely frosted. Add more ice to form a cone,,
2753,,,,,,above the rim. Garnish with the apple fan and,,
2754,,,,,,mint bouquet in the center of the ice and serve,,
2755,,,,,,with a straw.,,
2756,,,,,,,,
2757,244,ZIHUATANEJO JULEP,MINT SPRIG,MINT,1 sprig,"GARNISH: 1 CINNAMON STICK AND 1, MINT",BRIAN MILLER 2009,
2758,244,ZIHUATANEJO JULEP,EL TESORO REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,BOUQUET,Although no cinnamon is grated directly into,
2759,244,ZIHUATANEJO JULEP,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,Rub the mint around the inside of a julep tin and,"the drink, grating the cinnamon stick before",
2760,244,ZIHUATANEJO JULEP,DEL MAGUEY CHICHICAPA MEZCAL,AGAVE (MEZCAL),0.5,discard. Fill the tin with crushed ice and add the,you use it to garnish the drink releases its,
2761,,,,,,"tequila and syrup. Swizzle briefly, then top with",aromas and makes it more fragrant when you,
2762,,,,,,crushed ice. Float the mezcal on top. Grate the,stick it into the ice.—BM,
2763,,,,,,side of a cinnamon stick away from the drink to,,
2764,,,,,,"release its aromas, then place the cinnamon and",,
2765,,,,,,mint bouquet in the center of the ice and serve,,
2766,,,,,,with a straw.,,
2767,,,,,,,,
2768,,FLIPS AND FIZZES,,,,,,
2769,,,,,,,,
2770,245,CELINE FIZZ,PLYMOUTH GIN,GIN (PLYMOUTH),2,Dry shake all the ingredients (except the club,PHIL WARD 2008,
2771,245,CELINE FIZZ,ST-GERMAIN,LIQUEUR (ELDERFLOWER),0.75,"soda), then shake again with ice. Double strain",,
2772,245,CELINE FIZZ,LEMON JUICE,JUICE (LEMON),0.75,into a fizz glass and top with club soda. No,,
2773,245,CELINE FIZZ,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,garnish.,,
2774,245,CELINE FIZZ,EGG WHITE,EGG (WHITE),1,,,
2775,245,CELINE FIZZ,CLUB SODA,SODA,remainder,,,
2776,,,,,,,,
2777,245,CHINESE FIZZ,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),2,"GARNISH: 1, ORANGE WHEEL",PHIL WARD 2008,
2778,245,CHINESE FIZZ,COINTREAU,LIQUEUR (ORANGE),0.25,"Dry shake all the ingredients, then shake again",A fizz variation on the Chinese cocktail from,
2779,245,CHINESE FIZZ,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.25,with ice. Double strain into a fizz glass filled with,"The Savoy Cocktail Book, by Harry",
2780,245,CHINESE FIZZ,LEMON JUICE,JUICE (LEMON),0.5,ice cubes. Garnish with the orange wheel and,Craddock.—PW,
2781,245,CHINESE FIZZ,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,serve with a straw.,,
2782,245,CHINESE FIZZ,GRENADINE,SYRUP (GRENADINE),0.25,,,
2783,245,CHINESE FIZZ,EGG WHITE,EGG (WHITE),1,,,
2784,245,CHINESE FIZZ,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
2785,,,,,,,,
2786,245,JACK SPARROW FLIP,FLOR DE CAÑA 7-YEAR RUM,RUM (SPANISH),2,GARNISH: CINNAMON,BRIAN MILLER 2008,
2787,245,JACK SPARROW FLIP,SANDEMAN RAINWATER MADEIRA,MADEIRA,0.75,"Dry shake all the ingredients, then add 3, ice",,
2788,245,JACK SPARROW FLIP,DEMERARA SYRUP,SYRUP (DEMERARA),0.75,cubes and shake again. Double strain into a fancy,,
2789,245,JACK SPARROW FLIP,EGG,EGG,1.5,fizz glass. Garnish with a few grates of cinnamon.,,
2790,245,JACK SPARROW FLIP,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.0625,,,
2791,,,,,,,,
2792,246,JELLY ROLL MORTON,HINE H COGNAC,BRANDY (GRAPE),1.5,"Dry shake all the ingredients, then shake again",THOMAS WAUGH 2009,
2793,246,JELLY ROLL MORTON,DRIED CURRANT–INFUSED WILD TURKEY RYE,WHISKEY (RYE),0.5,with ice. Double strain into a coupe. No garnish.,We don’t make a lot of flips at Death & Co,
2794,246,JELLY ROLL MORTON,SANDEMAN RUBY PORT,WINE (PORT),0.75,,"(not everyone loves eggy cocktails, and they can",
2795,246,JELLY ROLL MORTON,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,"make an awful mess behind the bar), but this",
2796,246,JELLY ROLL MORTON,EGG YOLK,EGG (YOLK),0.5,,"jammy flip, named for the jazz musician, is a",
2797,246,JELLY ROLL MORTON,HEAVY CREAM,CREAM (HEAVY),0.5,,crowd-pleaser.—TW,
2798,246,JELLY ROLL MORTON,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
2799,,,,,,,,
2800,246,LE GIGOT FLIP,SANTA TERESA 1796 RUM,RUM (SPANISH),2,GARNISH: 1 BRANDIED CHERRY,PHIL WARD 2008,
2801,246,LE GIGOT FLIP,CHERRY HEERING,CHERRY HEERING,0.5,"Dry shake all the ingredients, then shake again",,
2802,246,LE GIGOT FLIP,DEMERARA SYRUP,SYRUP (DEMERARA),0.25,with ice. Double strain into a coupe. Garnish with,,
2803,246,LE GIGOT FLIP,EGG YOLK,EGG (YOLK),0.5,the cherry.,,
2804,246,LE GIGOT FLIP,HEAVY CREAM,CREAM (HEAVY),0.5,,,
2805,246,LE GIGOT FLIP,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.0625,,,
2806,,,,,,,,
2807,246,PEARLS BEFORE SWINE,MARTIN MILLER’S WESTBOURNE-STRENGTH GIN,GIN,2,Shake all the ingredients (except the rose water),JOAQUÍN SIMÓ 2009,
2808,246,PEARLS BEFORE SWINE,LEMON JUICE,JUICE (LEMON),0.5,"with ice, then double strain into a coupe. Top with",I wanted to come up with a Ramos Gin Fizz,
2809,246,PEARLS BEFORE SWINE,ORGEAT,SYRUP (ORGEAT),0.5,the rose water. No garnish.,that was less of a pain in the ass to make,
2810,246,PEARLS BEFORE SWINE,GREEK YOGURT,OTHER (YOGURT),0.166667,,(you have to shake them forever). Replacing the,
2811,246,PEARLS BEFORE SWINE,LEMON CURD,OTHER (LEMON CURD),0.166667,,egg with yogurt and lemon curd did the,
2812,246,PEARLS BEFORE SWINE,ROSE WATER,OTHER (ROSE WATER),0.0050721,,trick.—JS,
2813,,,,,,,,
2814,,,,,,,,
2815,246,PIT STOP FLIP,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),1.5,GARNISH: NUTMEG AND 1 APPLE SLICE,ALEX DAY 2008,
2816,246,PIT STOP FLIP,SANDEMAN RAINWATER MADEIRA,MADEIRA,0.5,"Dry shake all the ingredients, then shake again","By nature, flips are rich and decadent. This",
2817,246,PIT STOP FLIP,MAPLE SYRUP,SYRUP (MAPLE),0.5,with ice. Double strain into a coupe. Garnish with,"drink is as well, but the madeira is light and",
2818,246,PIT STOP FLIP,EGG YOLK,EGG (YOLK),0.5,a few grates of nutmeg and rest the apple slice,stretches out the flavors to create a more,
2819,246,PIT STOP FLIP,HEAVY CREAM,CREAM (HEAVY),0.5,on the edge of the coupe.,delicate flip.—AD,
2820,,,,,,,,
2821,,,,,,,,
2822,246,RAISIN BURN,DRIED CURRANT–INFUSED WILD TURKEY RYE,WHISKEY (RYE),2,GARNISH: CINNAMON,THOMAS WAUGH 2008,
2823,246,RAISIN BURN,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.75,"Dry shake all the ingredients, then add 1, large ice",,
2824,246,RAISIN BURN,WHOLE EGG,EGG (WHOLE),1.5,cube and shake again. Double strain into a coupe.,,
2825,246,RAISIN BURN,HEAVY CREAM,CREAM (HEAVY),0.5,Garnish with a few grates of cinnamon.,,
2826,246,RAISIN BURN,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
2827,,,,,,,,
2828,247,SATURDAY MORNING FLIP,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1,"Dry shake all the ingredients, then shake again",JOAQUÍN SIMÓ 2008,
2829,247,SATURDAY MORNING FLIP,GOSLING’S BLACK SEAL RUM,RUM (ENGLISH),1,with ice. Double strain into a coupe. No garnish.,,
2830,247,SATURDAY MORNING FLIP,RUBY PORT,WINE (PORT),0.75,,,
2831,247,SATURDAY MORNING FLIP,ESPRESSO-INFUSED DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,,,
2832,247,SATURDAY MORNING FLIP,EGG YOLK,EGG (YOLK),0.5,,,
2833,247,SATURDAY MORNING FLIP,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
2834,,,,,,,,
2835,247,SLEEPY HOLLOW FIZZ,FLOR DE CAÑA 7-YEAR RUM,RUM (SPANISH),1.5,Dry shake all the ingredients (except the club,BRIAN MILLER 2008,
2836,247,SLEEPY HOLLOW FIZZ,EL DORADO HIGH-STRENGTH 151 RUM,RUM (DEMERARA OVERPROOF),0.5,"soda), then shake again with ice. Strain into a fizz",This Halloween-inspired drink was the first of,
2837,247,SLEEPY HOLLOW FIZZ,LEMON JUICE,JUICE (LEMON),0.5,glass and top with club soda. No garnish.,many D&C drinks named after Johnny Depp,
2838,247,SLEEPY HOLLOW FIZZ,MAPLE SYRUP,SYRUP (MAPLE),0.5,,"movies. Technically a “golden fizz,” this rich",
2839,247,SLEEPY HOLLOW FIZZ,EGG YOLK,EGG (YOLK),0.5,,drink is stylistically more like a flip.—BM,
2840,247,SLEEPY HOLLOW FIZZ,PUMPKIN PUREE,PUREE (PUMPKIN),0.333334,,,
2841,247,SLEEPY HOLLOW FIZZ,CLUB SODA,SODA,remainder,,,
2842,,,,,,,,
2843,,SWIZZLES,,,,,,
2844,,,,,,,,
2845,248,6TH STREET SWIZZLE,LA FAVORITE RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),1.5,GARNISH: 1 MINT SPRIG AND 1 LIME WHEEL,PHIL WARD 2008,
2846,248,6TH STREET SWIZZLE,LIME JUICE,JUICE (LIME),1,"Whip all the ingredients, shaking with a few pieces",,
2847,248,6TH STREET SWIZZLE,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.75,of crushed ice just until incorporated. Pour into a,,
2848,248,6TH STREET SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,pilsner glass filled with crushed ice and swizzle,,
2849,,,,,,until cold. Garnish with the mint sprig and lime,,
2850,,,,,,wheel and serve with a straw.,,
2851,,,,,,,,
2852,248,BOURBONNAIS SWIZZLE,PECAN-INFUSED BUFFALO TRACE BOURBON,WHISKEY (BOURBON),2,"Dry shake all the ingredients, then add 3, ice",BRIAN MILLER 2008,
2853,248,BOURBONNAIS SWIZZLE,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),1,cubes and short shake. Strain into a pilsner glass,,
2854,248,BOURBONNAIS SWIZZLE,LILLET ROUGE,APPERITIF (LILLET ROUGE),0.5,filled with crushed ice. Serve with a straw. No,,
2855,248,BOURBONNAIS SWIZZLE,LEMON JUICE,JUICE (LEMON),0.75,garnish.,,
2856,,,,,,,,
2857,248,CIRQUE SWIZZLE,ANCHOR JUNIPERO GIN,GIN (LONDON DRY),1.5,"Dry shake all the ingredients, then dump into a",JESSICA GONZALEZ 2011,
2858,248,CIRQUE SWIZZLE,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,pilsner glass filled with crushed ice. Swizzle until,This drink’s pretty pink color gives it a cotton,
2859,248,CIRQUE SWIZZLE,CRÈME YVETTE PLUS MORE FOR TOPPING THE DRINK,LIQUEUR (CRÈME YVETTE),0.166667,"cold, then top with a thin layer of Crème Yvette.",candy–like appearance.—JG,
2860,248,CIRQUE SWIZZLE,LEMON JUICE,JUICE (LEMON),0.75,Serve with a straw. No garnish.,,
2861,248,CIRQUE SWIZZLE,VANILLA SYRUP,SYRUP (VANILLA),0.5,,,
2862,248,CIRQUE SWIZZLE,SIMPLE SYRUP,SYRUP (SIMPLE),0.25,,,
2863,,,,,,,,
2864,249,COFFEY PARK SWIZZLE,BARBANCOURT 3-STAR RUM,RUM (AGRICOLE AMBRE),1,GARNISH: 1 MINT SPRIG,ALEX DAY 2008,
2865,249,COFFEY PARK SWIZZLE,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1,"Whip all the ingredients (except the bitters),",This was the first of many sherry cocktails I’ve,
2866,249,COFFEY PARK SWIZZLE,VELVET FALERNUM,LIQUEUR (FALERNUM),0.25,shaking with a few pieces of crushed ice just until,created. It’s my tribute to the Queen’s Park,
2867,249,COFFEY PARK SWIZZLE,LIME JUICE,JUICE (LIME),0.75,incorporated. Strain into a pilsner glass filled with,"Swizzle, the most classic drink in the",
2868,249,COFFEY PARK SWIZZLE,GINGER SYRUP,SYRUP (GINGER),0.75,crushed ice. Swizzle until cold. Add the bitters and,category.—AD,
2869,249,COFFEY PARK SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.09375,swizzle them into the top of the drink. Garnish,,
2870,,,,,,with the mint sprig and serve with a straw.,,
2871,,,,,,,,
2872,249,DJ FLAMETHROWER,SIETE LEGUAS REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),1,GARNISH: 1 CINNAMON STICK,JOAQUÍN SIMÓ 2012,
2873,249,DJ FLAMETHROWER,DEL MAGUEY VIDA MEZCAL,AGAVE (MEZCAL),0.5,Short shake all the ingredients (except the bitters),Some of our favorite ingredient pairings are,
2874,249,DJ FLAMETHROWER,ANCHO CHILE-INFUSED DOLIN ROUGE VERMOUTH,VERMOUTH (SWEET),1,"with 3 ice cubes, then strain into a pilsner glass",represented in this drink: grapefruit and,
2875,249,DJ FLAMETHROWER,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.5,filled with crushed ice. Add the bitters and swizzle,"cinnamon, tequila and chiles, and tequila and",
2876,249,DJ FLAMETHROWER,LIME JUICE,JUICE (LIME),0.5,them on top of the drink. Grate a bit of the,mezcal.—JS,
2877,249,DJ FLAMETHROWER,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.75,"cinnamon over the drink, then garnish with the",,
2878,249,DJ FLAMETHROWER,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,cinnamon stick and serve with a straw.,,
2879,,,,,,,,
2880,249,DOLLY DAGGER,SMITH & CROSS RUM,RUM (JAMAICAN),1,GARNISH: 1 MINT SPRIG,ALEX DAY 2009,
2881,249,DOLLY DAGGER,WILLIAMS & HUMBERT DRY SACK MEDIUM SHERRY,SHERRY,1.5,"Whip all the ingredients, shaking with a few pieces","When used judiciously, Vanilla Syrup can add a",
2882,249,DOLLY DAGGER,LIME JUICE,JUICE (LIME),0.75,of crushed ice just until incorporated. Strain into a,lot of elegance to a drink. Here it softens a,
2883,249,DOLLY DAGGER,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,pilsner glass filled with crushed ice. Swizzle until,"big, funky rum, making it play nice with the",
2884,249,DOLLY DAGGER,VANILLA SYRUP,SYRUP (VANILLA),0.166667,cold. Garnish with the mint sprig and serve with a,sherry.—AD,
2885,,,,,,straw.,,
2886,,,,,,,,
2887,249,DOLORES PARK SWIZZLE,EL TESORO AÑEJO TEQUILA,AGAVE (TEQUILA ANEJO),1,GARNISH: 1 MINT SPRIG,THOMAS WAUGH 2009,
2888,249,DOLORES PARK SWIZZLE,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1,"Dry shake all the ingredients (except the bitters),",,
2889,249,DOLORES PARK SWIZZLE,VELVET FALERNUM,LIQUEUR (FALERNUM),0.25,then dump into a pilsner glass filled with crushed,,
2890,249,DOLORES PARK SWIZZLE,LIME JUICE,JUICE (LIME),0.75,ice. Add the bitters and swizzle them into the top,,
2891,249,DOLORES PARK SWIZZLE,GINGER SYRUP,SYRUP (GINGER),0.75,of the drink. Garnish with the mint sprig and,,
2892,249,DOLORES PARK SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.09375,serve with a straw.,,
2893,,,,,,,,
2894,250,HYDE PARK SWIZZLE,MINT SPRIGS,MINT,3 sprigs,GARNISH: 1 MINT SPRIG,PHIL WARD 2008,
2895,250,HYDE PARK SWIZZLE,PLYMOUTH GIN,GIN (PLYMOUTH),2,"In a shaker, gently muddle the mint. Add the",,
2896,250,HYDE PARK SWIZZLE,LIME JUICE,JUICE (LIME),0.75,remaining ingredients (except the bitters) and dry,,
2897,250,HYDE PARK SWIZZLE,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,"shake, then dump into a pilsner glass. Fill the",,
2898,250,HYDE PARK SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,glass with crushed ice and swizzle until cold. Add,,
2899,250,HYDE PARK SWIZZLE,PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.0625,the bitters and swizzle them into the top of the,,
2900,,,,,,drink. Garnish with the mint sprig and serve with,,
2901,,,,,,a straw.,,
2902,,,,,,,,
2903,250,JALISCO SWIZZLE,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1.5,GARNISH: 1 LIME WHEEL,PHIL WARD 2008,
2904,250,JALISCO SWIZZLE,DEL MAGUEY VIDA MEZCAL,AGAVE (MEZCAL),0.5,"Dry shake all the ingredients, then dump into a",,
2905,250,JALISCO SWIZZLE,LIME JUICE,JUICE (LIME),0.75,pilsner glass filled with crushed ice. Swizzle until,,
2906,250,JALISCO SWIZZLE,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,cold. Garnish with the lime wheel and serve with a,,
2907,250,JALISCO SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,straw.,,
2908,,,,,,,,
2909,250,MYRA BRECKINRIDGE,LAPHROAIG 10-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),2,GARNISH: 1 MINT SPRIG,PHIL WARD 2008,
2910,250,MYRA BRECKINRIDGE,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,"Dry shake all the ingredients, then dump into a","Anthony Sarnicola, a regular at the bar, named",
2911,250,MYRA BRECKINRIDGE,LIME JUICE,JUICE (LIME),0.75,pilsner glass filled with crushed ice. Swizzle until,this drink and described it as “a sex change for,
2912,250,MYRA BRECKINRIDGE,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,cold. Garnish with the mint sprig and serve with a,Laphroaig.”—PW,
2913,,,,,,straw.,,
2914,,,,,,,,
2915,251,PARK LIFE SWIZZLE,RANSOM OLD TOM GIN,GIN (OLD TOM),1,GARNISH: 1 MINT SPRIG,THOMAS WAUGH 2009,
2916,251,PARK LIFE SWIZZLE,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1,"Dry shake all the ingredients (except the bitters),",,
2917,251,PARK LIFE SWIZZLE,VELVET FALERNUM,LIQUEUR (FALERNUM),0.5,then dump into a pilsner glass filled with crushed,,
2918,251,PARK LIFE SWIZZLE,LIME JUICE,JUICE (LIME),0.75,ice. Top with the bitters. Garnish with the mint,,
2919,251,PARK LIFE SWIZZLE,GINGER SYRUP,SYRUP (GINGER),0.5,"sprig, and serve with a straw.",,
2920,251,PARK LIFE SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.1875,,,
2921,,,,,,,,
2922,251,ROBERT JOHNSON SWIZZLE,EVAN WILLIAMS SINGLE-BARREL BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 MINT SPRIG,BRIAN MILLER 2009,
2923,251,ROBERT JOHNSON SWIZZLE,OTIMA 10-YEAR TAWNY PORT,WINE (PORT),0.75,"Dry shake all the ingredients (except the bitters),","Swizzling the bitters on top of the swizzle,",
2924,251,ROBERT JOHNSON SWIZZLE,LEMON JUICE,JUICE (LEMON),0.5,then dump into a pilsner glass filled with crushed,"instead of with the other ingredients, gives you",
2925,251,ROBERT JOHNSON SWIZZLE,VANILLA SYRUP,SYRUP (VANILLA),0.75,ice. Swizzle until cold. Add the bitters and swizzle,a blast of aromatics as you sip the drink.—BM,
2926,251,ROBERT JOHNSON SWIZZLE,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.0625,them into the top of the drink. Garnish with the,,
2927,251,ROBERT JOHNSON SWIZZLE,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.09375,mint sprig and serve with a straw.,,
2928,,,,,,,,
2929,251,SANGRIA SWIZZLE,DRIED CURRANT–INFUSED WILD TURKEY RYE,WHISKEY (RYE),1.5,"GARNISH: 1, ORANGE WHEEL",THOMAS WAUGH 2009,
2930,251,SANGRIA SWIZZLE,RED RIOJA WINE,WINE (RED),1,Combine all the ingredients in a pilsner glass and,Build this swizzle slowly; the wine needs time,
2931,251,SANGRIA SWIZZLE,COINTREAU,LIQUEUR (ORANGE),0.75,swizzle while adding crushed ice little by little.,to marry with the currant-infused rye.—TW,
2932,251,SANGRIA SWIZZLE,LIME JUICE,JUICE (LIME),0.5,Garnish with the orange wheel and serve with a,,
2933,251,SANGRIA SWIZZLE,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,straw.,,
2934,251,SANGRIA SWIZZLE,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.03125,,,
2935,,,,,,,,
2936,251,SNAKE HIPS SWIZZLE,HINE H COGNAC,BRANDY (GRAPE),1.5,"Dry shake all the ingredients (except the bitters),",JOAQUÍN SIMÓ 2009,
2937,251,SNAKE HIPS SWIZZLE,GRAND MARNIER,LIQUEUR (ORANGE),0.25,then dump into a pilsner glass filled with crushed,,
2938,251,SNAKE HIPS SWIZZLE,MORENITA CREAM SHERRY,SHERRY (CREAM),0.5,ice. Swizzle the drink until cold. Add the bitters,,
2939,251,SNAKE HIPS SWIZZLE,LEMON JUICE,JUICE (LEMON),0.5,and swizzle them into the top of the drink. Serve,,
2940,251,SNAKE HIPS SWIZZLE,MAPLE SYRUP,SYRUP (MAPLE),0.5,with a straw. No garnish.,,
2941,251,SNAKE HIPS SWIZZLE,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.166667,,,
2942,251,SNAKE HIPS SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
2943,,,,,,,,
2944,,MULTIPLE CHOICE,,,,,,
2945,,,,,,,,
2946,252,BLACK MARKET SLING,PLYMOUTH GIN SCARLET IBIS RUM BERNHEIM WHEAT WHISKEY RITTENHOUSE 100 RYE LAIRD’S BONDED APPLE BRANDY OR HINE H COGNAC,AU CHOIX,2,GARNISH: 3 BRANDIED CHERRIES ON A,PHIL WARD 2008,
2947,252,BLACK MARKET SLING,CINNAMON ORANGE TEA–INFUSED SWEET VERMOUTH,VERMOUTH (SWEET),1,COCKTAIL PICK,,
2948,252,BLACK MARKET SLING,LEMON JUICE,JUICE (LEMON),0.5,Shake all the ingredients (except the club soda),,
2949,252,BLACK MARKET SLING,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,"with ice, then strain into a highball glass filled with",,
2950,252,BLACK MARKET SLING,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,ice cubes. Top with club soda. Garnish with the,,
2951,252,BLACK MARKET SLING,CLUB SODA,SODA,remainder,cherries and serve with a straw.,,
2952,,,,,,,,
2953,252,COIN TOSS,RITTENHOUSE 100 RYE LAIRD’S BONDED APPLE BRANDY SANTA TERESA 1796 RUM HINE H COGNAC OR FAMOUS GROUSE SCOTCH,AU CHOIX,2,"Stir all the ingredients over ice, then strain into a",PHIL WARD 2008,
2954,252,COIN TOSS,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,coupe. No garnish.,This was our original multiple-choice cocktail. It,
2955,252,COIN TOSS,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.25,,employs a template I’ve used to create a bunch,
2956,252,COIN TOSS,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,,"of drinks: 2, OUNCES, of booze, ¾, OUNCE, of",
2957,252,COIN TOSS,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.0625,,"vermouth, and ½, OUNCE, of something",
2958,,,,,,,interesting—here split between Chartreuse and,
2959,,,,,,,Bénédictine.—PW,
2960,,,,,,,,
2961,,,,,,,,
2962,252,ELECTRIC KOOL-AID ACID TEST,PLYMOUTH GIN SCARLET IBIS RUM LAIRD’S BONDED APPLE BRANDY OR SIEMBRA AZUL BLANCO TEQUILA,AU CHOIX,1,Short shake all the ingredients (except the,PHIL WARD 2008,
